Fecha,Acumuladas,Amazonas,Antioquia,Arauca,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,Norte de Santander,Putumayo,Quindio,Risaralda,San Andres,Santander,Sucre,Tolima,Valle del Cauca,Vaupes,Vichada,Procedencia desconocida
Acumulado Feb,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05T00:00:00.000,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06T00:00:00.000,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07T00:00:00.000,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08T00:00:00.000,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09T00:00:00.000,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10T00:00:00.000,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11T00:00:00.000,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12T00:00:00.000,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13T00:00:00.000,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14T00:00:00.000,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15T00:00:00.000,3176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16T00:00:00.000,3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17T00:00:00.000,3931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18T00:00:00.000,4690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19T00:00:00.000,5363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20T00:00:00.000,5766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21T00:00:00.000,6064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22T00:00:00.000,6910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23T00:00:00.000,7285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24T00:00:00.000,8051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25T00:00:00.000,8797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26T00:00:00.000,9228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27T00:00:00.000,9486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28T00:00:00.000,10851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29T00:00:00.000,12325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30T00:00:00.000,13816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31T00:00:00.000,17863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01T00:00:00.000,20253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02T00:00:00.000,21412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03T00:00:00.000,22752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04T00:00:00.000,23989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05T00:00:00.000,25547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06T00:00:00.000,27968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07T00:00:00.000,30728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08T00:00:00.000,33858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09T00:00:00.000,35193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10T00:00:00.000,37876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11T00:00:00.000,40618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12T00:00:00.000,41780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13T00:00:00.000,43036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14T00:00:00.000,45351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15T00:00:00.000,48556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16T00:00:00.000,52013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17T00:00:00.000,55501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-18T00:00:00.000,58930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19T00:00:00.000,62674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20T00:00:00.000,65097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21T00:00:00.000,68356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22T00:00:00.000,71407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23T00:00:00.000,74864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24T00:00:00.000,77985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-25T00:00:00.000,81053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-26T00:00:00.000,87106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27T00:00:00.000,90899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28T00:00:00.000,95085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29T00:00:00.000,100153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30T00:00:00.000,104657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01T00:00:00.000,108950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-02T00:00:00.000,114602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-03T00:00:00.000,118801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04T00:00:00.000,123029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05T00:00:00.000,127105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06T00:00:00.000,131110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07T00:00:00.000,135352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08T00:00:00.000,139739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-09T00:00:00.000,144912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-10T00:00:00.000,151396,1457,21161,591,8100,46276,5586,2022,3051,481,766,1878,1749,690,2631,3749,6,749,156,3679,4314,4403,2545,3578,121,1491,4253,250,3613,591,2219,16447,44,5,2744
2020-05-11T00:00:00.000,158933,1799,21676,602,8880,49698,5938,2141,3100,495,777,1893,1755,690,2683,4035,12,749,156,3818,4617,4822,2596,3636,134,1527,4253,250,3801,592,2245,16618,140,6,2799
2020-05-12T00:00:00.000,165738,2007,22573,602,9500,51769,6479,2243,3204,534,780,1969,1828,744,2713,4219,12,792,156,3919,4709,4880,2635,3673,134,1561,4308,250,3961,644,2676,17276,140,6,2842
2020-05-13T00:00:00.000,171779,2437,23234,631,9825,53683,6894,2341,3241,557,801,1971,1943,744,2798,4301,12,829,156,4155,4805,5110,2723,3875,134,1591,4374,250,4084,709,2876,17689,140,6,2880
2020-05-14T00:00:00.000,177050,2446,23733,631,10370,54780,7043,2661,3387,588,840,2005,2033,744,2971,4607,12,855,165,4320,4959,5337,2853,4004,134,1649,4435,293,4317,719,3079,18016,140,6,2918
2020-05-15T00:00:00.000,183112,2849,24478,641,10954,56352,7074,2946,3415,635,852,2062,2038,746,3078,4789,12,934,166,4423,5121,5619,2973,4132,134,1710,4474,293,4522,722,3196,18678,140,6,2948
2020-05-16T00:00:00.000,190114,3479,25322,641,11273,58171,7144,3141,3500,668,1058,2131,2193,830,3262,5066,12,951,166,4525,5191,5777,2973,4220,242,1730,4523,293,4863,808,3279,19360,325,8,2989
2020-05-17T00:00:00.000,196417,3623,26154,643,11789,58843,8475,3478,3582,677,1125,2137,2283,842,3427,5215,12,960,184,4760,5326,5854,3021,4516,242,1780,4580,363,5017,859,3363,19913,325,8,3041
2020-05-18T00:00:00.000,201888,3958,26483,649,12450,60029,9328,3555,3674,691,1128,2139,2293,842,3610,5281,12,1023,184,4951,5395,5909,3282,4609,245,1788,4581,363,5299,875,3459,20382,325,8,3088
2020-05-19T00:00:00.000,208046,4002,27349,766,12650,63097,9724,3657,3693,731,1130,2192,2510,862,3727,5548,12,1031,184,4944,5256,5957,3333,4747,253,1788,4619,363,5481,924,3651,20768,325,10,2762
2020-05-20T00:00:00.000,214536,4002,27690,770,13382,64831,10377,3862,3718,747,1161,2249,2638,937,3911,5627,12,1105,184,5151,5418,6269,3505,4893,274,1837,4754,363,5544,1011,3685,21339,429,10,2851
2020-05-21T00:00:00.000,222110,4053,29118,771,13782,67350,10942,4033,3806,754,1175,2301,2639,952,3944,5756,12,1148,221,5235,5546,6397,3590,5127,274,1846,4861,376,5768,1088,3779,21900,542,10,3114
2020-05-22T00:00:00.000,235948,4120,29732,918,14635,75028,11344,4348,3907,803,1202,2374,2726,998,4095,5949,12,1205,244,5372,5788,6540,3799,5217,291,1915,4958,387,6105,1147,4017,22979,568,10,3215
2020-05-23T00:00:00.000,243119,4121,31533,918,15406,76449,12182,4554,3915,826,1204,2432,2852,1000,4212,6377,12,1243,244,5561,5801,6553,3908,5236,291,1916,5087,387,6340,1239,4029,23819,501,10,2961
2020-05-24T00:00:00.000,252742,5190,32225,935,15794,77511,12945,5267,4063,876,1259,2493,2922,1248,4588,6646,12,1711,251,5955,6396,6676,3962,5435,306,1993,5245,433,6609,1297,4508,24330,627,23,3011
2020-05-25T00:00:00.000,260812,5450,33979,936,16336,79571,13634,5362,4081,876,1266,2511,2982,1268,4658,6955,12,1728,251,6263,6525,7139,4101,5501,312,2010,5402,433,6847,1339,4649,24756,635,23,3021
2020-05-26T00:00:00.000,271118,5501,36237,936,17153,81302,14531,5700,4194,903,1266,2566,3111,1440,4914,7305,12,1729,251,6496,6910,7337,4231,5675,312,2093,5415,433,7081,1485,4814,26020,635,23,3107
2020-05-27T00:00:00.000,283464,5826,37317,937,18098,85597,16103,5991,4307,926,1279,2641,3309,1627,4993,7883,336,1736,252,6718,6956,7582,4354,5710,312,2102,5484,433,7401,1539,5002,26750,636,165,3162
2020-05-28T00:00:00.001,295614,5841,39187,981,18747,89385,17221,6487,4533,926,1323,2714,3399,1685,5266,8367,573,1828,261,6825,7594,7870,4356,5887,409,2180,5590,433,7532,1707,5124,27350,636,165,3232
2020-05-29T00:00:00.001,306411,6141,40161,1141,19515,92958,17446,6795,4698,947,1399,2762,3607,1734,5514,8749,585,1883,261,6957,7820,8046,4785,6118,410,2232,5879,517,7910,1838,5239,28176,636,165,3387
2020-05-30T00:00:00.001,319779,6160,41099,1204,20164,98661,19102,7325,4746,1000,1510,2783,3737,1735,5557,9389,587,1924,261,7135,7963,8446,4855,6245,410,2291,6037,517,8204,1972,5398,29089,636,165,3472
2020-05-31T00:00:00.001,331817,6612,42051,1204,21233,101591,20381,7734,4821,1000,1807,2856,4014,1980,5731,9959,689,1936,322,7199,8212,8706,5329,6333,465,2312,6212,575,8668,2090,5497,29809,636,296,3557
2020-06-01T00:00:00.001,341142,6770,42768,1204,22927,103149,21383,7878,4889,1021,1807,2934,4032,2125,5861,10824,689,2004,326,7475,8342,8847,5334,6882,482,2340,6228,575,9086,2131,5567,30695,636,296,3635
2020-06-02T00:00:00.001,350123,6876,44128,1232,24050,105540,21596,8117,4963,1021,1822,3004,4186,2142,5965,11167,689,2016,326,7723,8782,9026,5475,6923,490,2446,6384,575,9646,2286,5687,31325,636,296,3673
2020-06-03T00:00:00.001,362432,7080,44900,1261,25567,109606,22864,8435,5026,1038,1881,3073,4313,2480,6079,11667,689,2017,326,7806,8803,9373,5790,7137,519,2505,6574,581,9999,2404,5786,32182,636,296,3739
2020-06-04T00:00:00.001,374592,7190,45759,1337,27344,113356,24515,8691,5066,1039,1902,3088,4525,2522,6187,12253,689,2033,326,7839,9264,9499,5992,7179,519,2544,6678,592,10208,2652,5804,32936,788,446,3830
2020-06-05T00:00:00.001,386938,7367,47196,1337,28612,117214,25344,8972,5165,1045,2003,3137,4756,2532,6411,12837,762,2076,367,8133,9581,9589,6308,7328,519,2545,6750,603,10750,2830,5972,33643,788,551,3915
