date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,1,1,1,1,0,0
10/03/2020,0,1,0,1,0,0
11/03/2020,2,3,2,3,0,0
12/03/2020,0,3,0,3,0,0
13/03/2020,0,3,0,3,0,0
14/03/2020,2,5,2,5,0,0
15/03/2020,1,6,1,6,0,0
16/03/2020,0,6,0,6,0,0
17/03/2020,0,6,0,6,0,0
18/03/2020,0,6,0,6,0,0
19/03/2020,3,9,3,9,0,0
20/03/2020,7,16,7,16,0,0
21/03/2020,1,17,1,17,0,0
22/03/2020,2,19,2,19,0,0
23/03/2020,13,32,13,32,0,0
24/03/2020,0,32,0,32,0,0
25/03/2020,6,38,6,38,0,0
26/03/2020,0,38,0,38,0,0
27/03/2020,0,38,0,38,0,0
28/03/2020,4,42,4,42,0,0
29/03/2020,8,50,8,50,0,0
30/03/2020,8,58,8,58,0,0
31/03/2020,4,62,4,62,0,0
01/04/2020,1,63,1,63,0,0
02/04/2020,10,73,10,73,0,0
03/04/2020,11,84,11,84,0,0
04/04/2020,2,86,2,86,0,0
05/04/2020,9,95,9,95,0,0
06/04/2020,5,100,4,99,1,1
07/04/2020,13,113,13,112,0,1
08/04/2020,27,140,27,139,0,1
09/04/2020,2,142,2,141,0,1
10/04/2020,5,147,5,146,0,1
11/04/2020,3,150,3,149,0,1
12/04/2020,7,157,7,156,0,1
13/04/2020,10,167,10,166,0,1
14/04/2020,13,180,13,179,0,1
15/04/2020,10,190,10,189,0,1
16/04/2020,4,194,3,192,1,2
17/04/2020,6,200,6,198,0,2
18/04/2020,8,208,8,206,0,2
19/04/2020,11,219,10,216,1,3
20/04/2020,6,225,6,222,0,3
21/04/2020,3,228,3,225,0,3
22/04/2020,6,234,6,231,0,3
23/04/2020,15,249,15,246,0,3
24/04/2020,5,254,5,251,0,3
25/04/2020,1,255,1,252,0,3
26/04/2020,3,258,3,255,0,3
27/04/2020,8,266,8,263,0,3
28/04/2020,3,269,3,266,0,3
29/04/2020,4,273,4,270,0,3
30/04/2020,4,277,4,274,0,3
01/05/2020,1,278,1,275,0,3
02/05/2020,0,278,0,275,0,3
03/05/2020,6,284,6,281,0,3
04/05/2020,3,287,3,284,0,3
05/05/2020,3,290,3,287,0,3
06/05/2020,3,293,3,290,0,3
07/05/2020,3,296,3,293,0,3
08/05/2020,3,299,3,296,0,3
09/05/2020,1,300,1,297,0,3
10/05/2020,2,302,2,299,0,3
11/05/2020,5,307,5,304,0,3
12/05/2020,4,311,3,307,0,3
13/05/2020,7,318,7,314,0,3
14/05/2020,10,328,10,324,0,3
15/05/2020,7,335,6,330,1,4
16/05/2020,6,341,4,334,1,5
17/05/2020,8,349,8,342,0,5
18/05/2020,6,355,6,348,0,5
19/05/2020,13,368,13,361,0,5
20/05/2020,4,372,4,365,0,5
21/05/2020,13,385,12,377,0,5
22/05/2020,8,393,8,385,0,5
23/05/2020,34,427,34,419,0,5
24/05/2020,13,440,13,432,0,5
25/05/2020,6,446,6,438,0,5
26/05/2020,23,469,23,461,0,5
27/05/2020,14,483,14,475,0,5
28/05/2020,21,504,21,496,0,5
29/05/2020,11,515,11,507,0,5
30/05/2020,16,531,16,523,0,5
31/05/2020,17,548,17,540,0,5
01/06/2020,5,553,5,545,0,5
02/06/2020,24,577,24,569,0,5
03/06/2020,16,593,16,585,0,5
04/06/2020,13,606,13,598,0,5
05/06/2020,13,619,12,610,0,5
06/06/2020,13,632,12,622,0,5
07/06/2020,16,648,13,635,1,6
08/06/2020,28,676,26,661,0,6
09/06/2020,34,710,21,682,0,6
10/06/2020,29,739,18,700,0,6
11/06/2020,18,757,14,714,0,6
12/06/2020,29,786,18,732,1,7
13/06/2020,33,819,12,744,0,7
14/06/2020,32,851,16,760,0,7
15/06/2020,51,902,25,785,1,8
16/06/2020,34,936,16,801,0,8
17/06/2020,38,974,17,818,0,8
18/06/2020,62,1036,19,837,2,10
19/06/2020,92,1128,40,877,1,11
20/06/2020,46,1174,13,890,1,12
21/06/2020,64,1238,15,905,0,12
22/06/2020,40,1278,14,919,0,12
23/06/2020,53,1331,10,929,0,12
24/06/2020,84,1415,19,948,4,16
25/06/2020,94,1509,9,957,1,17
26/06/2020,119,1628,6,963,3,20
27/06/2020,132,1760,2,965,0,20
28/06/2020,128,1888,2,967,1,21
29/06/2020,73,1961,0,967,0,21
30/06/2020,123,2084,1,968,1,22
01/07/2020,115,2199,2,970,1,23
02/07/2020,179,2378,2,972,3,26
03/07/2020,146,2524,0,972,0,26
04/07/2020,236,2760,0,972,2,28
05/07/2020,172,2932,3,975,1,29
06/07/2020,236,3168,0,975,0,29
07/07/2020,0,3168,0,975,0,29
