date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,2,2,2,2,0,0
17/03/2020,0,2,0,2,0,0
18/03/2020,0,2,0,2,0,0
19/03/2020,3,5,3,5,0,0
20/03/2020,0,5,0,5,0,0
21/03/2020,2,7,2,7,0,0
22/03/2020,0,7,0,7,0,0
23/03/2020,0,7,0,7,0,0
24/03/2020,2,9,2,9,0,0
25/03/2020,3,12,3,12,0,0
26/03/2020,0,12,0,12,0,0
27/03/2020,1,13,0,12,1,1
28/03/2020,3,16,3,15,0,1
29/03/2020,4,20,4,19,0,1
30/03/2020,1,21,1,20,0,1
31/03/2020,8,29,7,27,1,2
01/04/2020,2,31,2,29,0,2
02/04/2020,0,31,0,29,0,2
03/04/2020,9,40,9,38,0,2
04/04/2020,0,40,0,38,0,2
05/04/2020,2,42,2,40,0,2
06/04/2020,1,43,1,41,0,2
07/04/2020,3,46,3,44,0,2
08/04/2020,3,49,3,47,0,2
09/04/2020,6,55,6,53,0,2
10/04/2020,5,60,5,58,0,2
11/04/2020,4,64,4,62,0,2
12/04/2020,2,66,1,63,1,3
13/04/2020,1,67,1,64,0,3
14/04/2020,2,69,2,66,0,3
15/04/2020,0,69,0,66,0,3
16/04/2020,1,70,1,67,0,3
17/04/2020,2,72,2,69,0,3
18/04/2020,3,75,3,72,0,3
19/04/2020,2,77,2,74,0,3
20/04/2020,1,78,1,75,0,3
21/04/2020,4,82,2,77,2,5
22/04/2020,3,85,3,80,0,5
23/04/2020,2,87,1,81,1,6
24/04/2020,5,92,5,86,0,6
25/04/2020,7,99,7,93,0,6
26/04/2020,12,111,12,105,0,6
27/04/2020,18,129,18,123,0,6
28/04/2020,9,138,8,131,1,7
29/04/2020,2,140,1,132,1,8
30/04/2020,19,159,18,150,1,9
01/05/2020,5,164,5,155,0,9
02/05/2020,32,196,31,186,1,10
03/05/2020,46,242,43,229,3,13
04/05/2020,11,253,11,240,0,13
05/05/2020,45,298,36,276,9,22
06/05/2020,8,306,8,284,0,22
07/05/2020,17,323,17,301,0,22
08/05/2020,58,381,57,358,1,23
09/05/2020,11,392,9,367,1,24
10/05/2020,35,427,33,400,1,25
11/05/2020,24,451,24,424,0,25
12/05/2020,37,488,35,459,1,26
13/05/2020,104,592,101,560,2,28
14/05/2020,62,654,59,619,3,31
15/05/2020,68,722,64,683,3,34
16/05/2020,32,754,32,715,0,34
17/05/2020,93,847,83,798,4,38
18/05/2020,22,869,22,820,0,38
19/05/2020,36,905,35,855,1,39
20/05/2020,66,971,64,919,1,40
21/05/2020,83,1054,75,994,2,42
22/05/2020,58,1112,56,1050,2,44
23/05/2020,142,1254,132,1182,9,53
24/05/2020,104,1358,102,1284,2,55
25/05/2020,34,1392,34,1318,0,55
26/05/2020,91,1483,89,1407,2,57
27/05/2020,44,1527,42,1449,2,59
28/05/2020,83,1610,76,1525,5,64
29/05/2020,81,1691,77,1602,3,67
30/05/2020,192,1883,169,1771,20,87
31/05/2020,123,2006,116,1887,5,92
01/06/2020,96,2102,90,1977,3,95
02/06/2020,182,2284,162,2139,15,110
03/06/2020,141,2425,125,2264,8,118
04/06/2020,323,2748,296,2560,22,140
05/06/2020,206,2954,144,2704,15,155
06/06/2020,191,3145,144,2848,15,170
07/06/2020,182,3327,94,2942,18,188
08/06/2020,136,3463,79,3021,19,207
09/06/2020,247,3710,129,3150,15,222
10/06/2020,219,3929,97,3247,16,238
11/06/2020,203,4132,118,3365,7,245
12/06/2020,393,4525,108,3473,24,269
13/06/2020,286,4811,96,3569,23,292
14/06/2020,328,5139,88,3657,24,316
15/06/2020,797,5936,202,3859,40,356
16/06/2020,273,6209,60,3919,18,374
17/06/2020,440,6649,80,3999,34,408
18/06/2020,560,7209,115,4114,26,434
19/06/2020,404,7613,70,4184,26,460
20/06/2020,520,8133,46,4230,38,498
21/06/2020,421,8554,21,4251,40,538
22/06/2020,333,8887,22,4273,27,565
23/06/2020,343,9230,9,4282,34,599
24/06/2020,524,9754,31,4313,38,637
25/06/2020,262,10016,19,4332,15,652
26/06/2020,890,10906,35,4367,26,678
27/06/2020,582,11488,25,4392,11,689
28/06/2020,519,12007,15,4407,15,704
29/06/2020,353,12360,9,4416,7,711
30/06/2020,393,12753,0,4416,0,711
01/07/2020,372,13125,0,4416,12,723
02/07/2020,0,13125,0,4416,0,723
