date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,2,2,2,2,0,0
17/03/2020,0,2,0,2,0,0
18/03/2020,0,2,0,2,0,0
19/03/2020,3,5,3,5,0,0
20/03/2020,0,5,0,5,0,0
21/03/2020,2,7,2,7,0,0
22/03/2020,0,7,0,7,0,0
23/03/2020,0,7,0,7,0,0
24/03/2020,2,9,2,9,0,0
25/03/2020,3,12,3,12,0,0
26/03/2020,0,12,0,12,0,0
27/03/2020,1,13,0,12,1,1
28/03/2020,3,16,3,15,0,1
29/03/2020,4,20,4,19,0,1
30/03/2020,1,21,1,20,0,1
31/03/2020,8,29,7,27,1,2
01/04/2020,2,31,2,29,0,2
02/04/2020,0,31,0,29,0,2
03/04/2020,9,40,9,38,0,2
04/04/2020,0,40,0,38,0,2
05/04/2020,2,42,2,40,0,2
06/04/2020,1,43,1,41,0,2
07/04/2020,3,46,3,44,0,2
08/04/2020,3,49,3,47,0,2
09/04/2020,6,55,6,53,0,2
10/04/2020,5,60,5,58,0,2
11/04/2020,4,64,4,62,0,2
12/04/2020,2,66,1,63,1,3
13/04/2020,1,67,1,64,0,3
14/04/2020,2,69,2,66,0,3
15/04/2020,0,69,0,66,0,3
16/04/2020,1,70,1,67,0,3
17/04/2020,2,72,2,69,0,3
18/04/2020,3,75,3,72,0,3
19/04/2020,2,77,2,74,0,3
20/04/2020,1,78,1,75,0,3
21/04/2020,4,82,2,77,2,5
22/04/2020,3,85,3,80,0,5
23/04/2020,2,87,1,81,1,6
24/04/2020,5,92,5,86,0,6
25/04/2020,7,99,6,92,0,6
26/04/2020,12,111,11,103,0,6
27/04/2020,19,130,19,122,0,6
28/04/2020,9,139,8,130,1,7
29/04/2020,2,141,1,131,1,8
30/04/2020,19,160,17,148,1,9
01/05/2020,7,167,7,155,0,9
02/05/2020,33,200,11,166,1,10
03/05/2020,48,248,20,186,3,13
04/05/2020,12,260,4,190,0,13
05/05/2020,51,311,10,200,9,22
06/05/2020,9,320,4,204,0,22
07/05/2020,23,343,11,215,0,22
08/05/2020,63,406,22,237,2,24
09/05/2020,11,417,2,239,1,25
10/05/2020,37,454,9,248,2,27
11/05/2020,24,478,8,256,0,27
12/05/2020,38,516,11,267,1,28
13/05/2020,111,627,16,283,1,29
14/05/2020,66,693,5,288,2,31
15/05/2020,79,772,9,297,4,35
16/05/2020,32,804,8,305,0,35
17/05/2020,105,909,10,315,4,39
18/05/2020,22,931,2,317,0,39
19/05/2020,38,969,1,318,1,40
20/05/2020,69,1038,3,321,1,41
21/05/2020,84,1122,3,324,1,42
22/05/2020,63,1185,0,324,2,44
23/05/2020,147,1332,0,324,6,50
24/05/2020,107,1439,0,324,1,51
25/05/2020,35,1474,0,324,0,51
26/05/2020,93,1567,0,324,2,53
27/05/2020,44,1611,0,324,1,54
28/05/2020,85,1696,0,324,1,55
29/05/2020,87,1783,0,324,2,57
30/05/2020,195,1978,0,324,11,68
31/05/2020,122,2100,0,324,0,68
