date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0
07/04/2020,0,0,0,0,0,0
08/04/2020,0,0,0,0,0,0
09/04/2020,0,0,0,0,0,0
10/04/2020,0,0,0,0,0,0
11/04/2020,0,0,0,0,0,0
12/04/2020,0,0,0,0,0,0
13/04/2020,0,0,0,0,0,0
14/04/2020,0,0,0,0,0,0
15/04/2020,0,0,0,0,0,0
16/04/2020,0,0,0,0,0,0
17/04/2020,0,0,0,0,0,0
18/04/2020,0,0,0,0,0,0
19/04/2020,0,0,0,0,0,0
20/04/2020,0,0,0,0,0,0
21/04/2020,0,0,0,0,0,0
22/04/2020,0,0,0,0,0,0
23/04/2020,0,0,0,0,0,0
24/04/2020,0,0,0,0,0,0
25/04/2020,0,0,0,0,0,0
26/04/2020,0,0,0,0,0,0
27/04/2020,0,0,0,0,0,0
28/04/2020,0,0,0,0,0,0
29/04/2020,0,0,0,0,0,0
30/04/2020,0,0,0,0,0,0
01/05/2020,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0
04/05/2020,0,0,0,0,0,0
05/05/2020,0,0,0,0,0,0
06/05/2020,0,0,0,0,0,0
07/05/2020,0,0,0,0,0,0
08/05/2020,1,1,1,1,0,0
09/05/2020,0,1,0,1,0,0
10/05/2020,0,1,0,1,0,0
11/05/2020,2,3,0,1,0,0
12/05/2020,0,3,0,1,0,0
13/05/2020,1,4,1,2,0,0
14/05/2020,0,4,0,2,0,0
15/05/2020,3,7,3,5,0,0
16/05/2020,1,8,1,6,0,0
17/05/2020,3,11,3,9,0,0
18/05/2020,3,14,3,12,0,0
19/05/2020,0,14,0,12,0,0
20/05/2020,1,15,1,13,0,0
21/05/2020,2,17,2,15,0,0
22/05/2020,0,17,0,15,0,0
23/05/2020,1,18,1,16,0,0
24/05/2020,4,22,3,19,1,1
25/05/2020,1,23,1,20,0,1
26/05/2020,0,23,0,20,0,1
27/05/2020,1,24,1,21,0,1
28/05/2020,2,26,2,23,0,1
29/05/2020,1,27,1,24,0,1
30/05/2020,2,29,2,26,0,1
31/05/2020,1,30,1,27,0,1
01/06/2020,0,30,0,27,0,1
02/06/2020,1,31,1,28,0,1
03/06/2020,0,31,0,28,0,1
04/06/2020,0,31,0,28,0,1
05/06/2020,2,33,2,30,0,1
06/06/2020,1,34,0,30,1,2
07/06/2020,0,34,0,30,0,2
08/06/2020,0,34,0,30,0,2
09/06/2020,4,38,4,34,0,2
10/06/2020,1,39,1,35,0,2
11/06/2020,0,39,0,35,0,2
12/06/2020,0,39,0,35,0,2
13/06/2020,0,39,0,35,0,2
14/06/2020,1,40,0,35,1,3
15/06/2020,0,40,0,35,0,3
16/06/2020,3,43,1,36,1,4
17/06/2020,3,46,3,39,0,4
18/06/2020,3,49,2,41,0,4
19/06/2020,2,51,2,43,0,4
20/06/2020,1,52,0,43,0,4
21/06/2020,0,52,0,43,0,4
22/06/2020,0,52,0,43,0,4
23/06/2020,0,52,0,43,0,4
24/06/2020,2,54,0,43,0,4
25/06/2020,14,68,3,46,0,4
26/06/2020,0,68,0,46,0,4
27/06/2020,0,68,0,46,0,4
28/06/2020,0,68,0,46,0,4
29/06/2020,0,68,0,46,0,4
30/06/2020,0,68,0,46,0,4
01/07/2020,3,71,0,46,0,4
02/07/2020,0,71,0,46,0,4
03/07/2020,1,72,0,46,1,5
04/07/2020,0,72,0,46,0,5
05/07/2020,1,73,0,46,0,5
06/07/2020,1,74,0,46,0,5
07/07/2020,0,74,0,46,0,5
08/07/2020,2,76,0,46,0,5
09/07/2020,0,76,0,46,0,5
10/07/2020,0,76,0,46,0,5
