date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,1,1,1,1,0,0
06/04/2020,1,2,1,2,0,0
07/04/2020,0,2,0,2,0,0
08/04/2020,1,3,0,2,0,0
09/04/2020,1,4,1,3,0,0
10/04/2020,0,4,0,3,0,0
11/04/2020,2,6,2,5,0,0
12/04/2020,1,7,1,6,0,0
13/04/2020,0,7,0,6,0,0
14/04/2020,2,9,2,8,0,0
15/04/2020,1,10,1,9,0,0
16/04/2020,2,12,1,10,1,1
17/04/2020,2,14,1,11,0,1
18/04/2020,3,17,1,12,1,2
19/04/2020,0,17,0,12,0,2
20/04/2020,1,18,0,12,0,2
21/04/2020,2,20,0,12,0,2
22/04/2020,0,20,0,12,0,2
23/04/2020,0,20,0,12,0,2
24/04/2020,2,22,0,12,0,2
25/04/2020,0,22,0,12,0,2
26/04/2020,2,24,1,13,0,2
27/04/2020,0,24,0,13,0,2
28/04/2020,1,25,1,14,0,2
29/04/2020,2,27,1,15,0,2
30/04/2020,2,29,0,15,1,3
01/05/2020,5,34,3,18,0,3
02/05/2020,2,36,1,19,0,3
03/05/2020,0,36,0,19,0,3
04/05/2020,3,39,2,21,0,3
05/05/2020,8,47,1,22,0,3
06/05/2020,1,48,1,23,0,3
07/05/2020,3,51,0,23,1,4
08/05/2020,1,52,1,24,0,4
09/05/2020,4,56,0,24,0,4
10/05/2020,1,57,0,24,0,4
11/05/2020,5,62,0,24,1,5
12/05/2020,17,79,0,24,1,6
13/05/2020,6,85,0,24,1,7
14/05/2020,6,91,0,24,1,8
15/05/2020,2,93,0,24,0,8
16/05/2020,9,102,0,24,1,9
17/05/2020,1,103,0,24,0,9
18/05/2020,23,126,0,24,2,11
19/05/2020,5,131,0,24,0,11
20/05/2020,14,145,0,24,4,15
21/05/2020,10,155,0,24,0,15
22/05/2020,47,202,0,24,3,18
23/05/2020,15,217,0,24,0,18
24/05/2020,15,232,0,24,1,19
25/05/2020,16,248,0,24,0,19
26/05/2020,35,283,0,24,0,19
