date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,1,1,1,1,0,0
27/03/2020,0,1,0,1,0,0
28/03/2020,0,1,0,1,0,0
29/03/2020,0,1,0,1,0,0
30/03/2020,0,1,0,1,0,0
31/03/2020,1,2,0,1,1,1
01/04/2020,0,2,0,1,0,1
02/04/2020,0,2,0,1,0,1
03/04/2020,0,2,0,1,0,1
04/04/2020,0,2,0,1,0,1
05/04/2020,0,2,0,1,0,1
06/04/2020,0,2,0,1,0,1
07/04/2020,0,2,0,1,0,1
08/04/2020,2,4,2,3,0,1
09/04/2020,0,4,0,3,0,1
10/04/2020,2,6,2,5,0,1
11/04/2020,1,7,1,6,0,1
12/04/2020,0,7,0,6,0,1
13/04/2020,0,7,0,6,0,1
14/04/2020,0,7,0,6,0,1
15/04/2020,0,7,0,6,0,1
16/04/2020,0,7,0,6,0,1
17/04/2020,0,7,0,6,0,1
18/04/2020,0,7,0,6,0,1
19/04/2020,0,7,0,6,0,1
20/04/2020,0,7,0,6,0,1
21/04/2020,0,7,0,6,0,1
22/04/2020,0,7,0,6,0,1
23/04/2020,0,7,0,6,0,1
24/04/2020,0,7,0,6,0,1
25/04/2020,0,7,0,6,0,1
26/04/2020,0,7,0,6,0,1
27/04/2020,0,7,0,6,0,1
28/04/2020,0,7,0,6,0,1
29/04/2020,0,7,0,6,0,1
30/04/2020,0,7,0,6,0,1
01/05/2020,0,7,0,6,0,1
02/05/2020,0,7,0,6,0,1
03/05/2020,0,7,0,6,0,1
04/05/2020,0,7,0,6,0,1
05/05/2020,0,7,0,6,0,1
06/05/2020,0,7,0,6,0,1
07/05/2020,0,7,0,6,0,1
08/05/2020,0,7,0,6,0,1
09/05/2020,0,7,0,6,0,1
10/05/2020,0,7,0,6,0,1
11/05/2020,1,8,0,6,0,1
12/05/2020,0,8,0,6,0,1
13/05/2020,1,9,1,7,0,1
14/05/2020,1,10,1,8,0,1
15/05/2020,0,10,0,8,0,1
16/05/2020,3,13,2,10,0,1
17/05/2020,0,13,0,10,0,1
18/05/2020,0,13,0,10,0,1
19/05/2020,9,22,9,19,0,1
20/05/2020,0,22,0,19,0,1
21/05/2020,3,25,2,21,0,1
22/05/2020,0,25,0,21,0,1
23/05/2020,1,26,1,22,0,1
24/05/2020,2,28,1,23,1,2
25/05/2020,1,29,1,24,0,2
26/05/2020,0,29,0,24,0,2
27/05/2020,7,36,7,31,0,2
28/05/2020,1,37,1,32,0,2
29/05/2020,0,37,0,32,0,2
30/05/2020,0,37,0,32,0,2
31/05/2020,20,57,20,52,0,2
01/06/2020,0,57,0,52,0,2
02/06/2020,0,57,0,52,0,2
03/06/2020,0,57,0,52,0,2
04/06/2020,3,60,3,55,0,2
05/06/2020,0,60,0,55,0,2
06/06/2020,2,62,0,55,0,2
07/06/2020,0,62,0,55,0,2
08/06/2020,1,63,1,56,0,2
09/06/2020,1,64,0,56,0,2
10/06/2020,2,66,1,57,0,2
11/06/2020,3,69,0,57,0,2
12/06/2020,0,69,0,57,0,2
13/06/2020,1,70,0,57,0,2
14/06/2020,1,71,0,57,1,3
15/06/2020,2,73,1,58,0,3
16/06/2020,1,74,0,58,0,3
17/06/2020,0,74,0,58,0,3
18/06/2020,1,75,0,58,0,3
19/06/2020,10,85,2,60,0,3
20/06/2020,2,87,1,61,0,3
21/06/2020,3,90,0,61,0,3
22/06/2020,0,90,0,61,0,3
23/06/2020,3,93,0,61,0,3
24/06/2020,8,101,0,61,0,3
25/06/2020,1,102,0,61,0,3
26/06/2020,1,103,0,61,0,3
27/06/2020,5,108,0,61,0,3
28/06/2020,0,108,0,61,0,3
29/06/2020,0,108,0,61,0,3
