date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,1,1,0,0,1,1
25/03/2020,0,1,0,0,0,1
26/03/2020,0,1,0,0,0,1
27/03/2020,0,1,0,0,0,1
28/03/2020,0,1,0,0,0,1
29/03/2020,0,1,0,0,0,1
30/03/2020,0,1,0,0,0,1
31/03/2020,0,1,0,0,0,1
01/04/2020,0,1,0,0,0,1
02/04/2020,0,1,0,0,0,1
03/04/2020,0,1,0,0,0,1
04/04/2020,0,1,0,0,0,1
05/04/2020,0,1,0,0,0,1
06/04/2020,0,1,0,0,0,1
07/04/2020,0,1,0,0,0,1
08/04/2020,2,3,2,2,0,1
09/04/2020,8,11,8,10,0,1
10/04/2020,3,14,2,12,1,2
11/04/2020,3,17,3,15,0,2
12/04/2020,0,17,0,15,0,2
13/04/2020,0,17,0,15,0,2
14/04/2020,3,20,3,18,0,2
15/04/2020,0,20,0,18,0,2
16/04/2020,0,20,0,18,0,2
17/04/2020,0,20,0,18,0,2
18/04/2020,0,20,0,18,0,2
19/04/2020,0,20,0,18,0,2
20/04/2020,4,24,3,21,1,3
21/04/2020,10,34,10,31,0,3
22/04/2020,0,34,0,31,0,3
23/04/2020,0,34,0,31,0,3
24/04/2020,9,43,9,40,0,3
25/04/2020,7,50,7,47,0,3
26/04/2020,1,51,0,47,0,3
27/04/2020,1,52,1,48,0,3
