date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,1,1,0,0,0,0
14/03/2020,0,1,0,0,0,0
15/03/2020,0,1,0,0,0,0
16/03/2020,2,3,2,2,0,0
17/03/2020,5,8,4,6,0,0
18/03/2020,0,8,0,6,0,0
19/03/2020,0,8,0,6,0,0
20/03/2020,1,9,0,6,0,0
21/03/2020,7,16,3,9,1,1
22/03/2020,4,20,3,12,0,1
23/03/2020,3,23,2,14,1,2
24/03/2020,23,46,12,26,0,2
25/03/2020,2,48,1,27,1,3
26/03/2020,2,50,2,29,0,3
27/03/2020,0,50,0,29,0,3
28/03/2020,8,58,1,30,1,4
29/03/2020,7,65,2,32,1,5
30/03/2020,7,72,1,33,2,7
31/03/2020,9,81,3,36,0,7
01/04/2020,23,104,8,44,0,7
02/04/2020,2,106,0,44,0,7
03/04/2020,14,120,2,46,2,9
04/04/2020,14,134,3,49,2,11
05/04/2020,14,148,1,50,0,11
06/04/2020,9,157,3,53,1,12
07/04/2020,13,170,2,55,1,13
08/04/2020,71,241,9,64,4,17
09/04/2020,31,272,4,68,4,21
10/04/2020,63,335,8,76,4,25
11/04/2020,46,381,6,82,9,34
12/04/2020,6,387,0,82,0,34
13/04/2020,5,392,0,82,0,34
14/04/2020,12,404,0,82,1,35
15/04/2020,15,419,0,82,1,36
16/04/2020,18,437,0,82,0,36
17/04/2020,30,467,0,82,0,36
18/04/2020,14,481,0,82,1,37
19/04/2020,9,490,0,82,0,37
20/04/2020,38,528,0,82,1,38
21/04/2020,24,552,0,82,1,39
22/04/2020,23,575,0,82,0,39
23/04/2020,34,609,0,82,0,39
24/04/2020,17,626,0,82,0,39
25/04/2020,0,626,0,82,0,39
