date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,3,3,2,2,0,0
19/03/2020,0,3,0,2,0,0
20/03/2020,1,4,1,3,0,0
21/03/2020,1,5,1,4,0,0
22/03/2020,2,7,0,4,0,0
23/03/2020,0,7,0,4,0,0
24/03/2020,3,10,1,5,1,1
25/03/2020,2,12,2,7,0,1
26/03/2020,0,12,0,7,0,1
27/03/2020,0,12,0,7,0,1
28/03/2020,0,12,0,7,0,1
29/03/2020,8,20,2,9,0,1
30/03/2020,0,20,0,9,0,1
31/03/2020,5,25,1,10,0,1
01/04/2020,0,25,0,10,0,1
02/04/2020,0,25,0,10,0,1
03/04/2020,2,27,0,10,0,1
04/04/2020,0,27,0,10,0,1
05/04/2020,0,27,0,10,0,1
06/04/2020,0,27,0,10,0,1
07/04/2020,4,31,0,10,0,1
08/04/2020,1,32,0,10,0,1
09/04/2020,1,33,0,10,0,1
10/04/2020,2,35,0,10,1,2
11/04/2020,3,38,0,10,0,2
12/04/2020,2,40,0,10,0,2
13/04/2020,1,41,0,10,0,2
14/04/2020,3,44,0,10,0,2
15/04/2020,3,47,0,10,0,2
