date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,1,1,1,1,0,0
14/03/2020,0,1,0,1,0,0
15/03/2020,0,1,0,1,0,0
16/03/2020,0,1,0,1,0,0
17/03/2020,0,1,0,1,0,0
18/03/2020,0,1,0,1,0,0
19/03/2020,1,2,1,2,0,0
20/03/2020,0,2,0,2,0,0
21/03/2020,1,3,1,3,0,0
22/03/2020,3,6,3,6,0,0
23/03/2020,1,7,1,7,0,0
24/03/2020,2,9,2,9,0,0
25/03/2020,2,11,2,11,0,0
26/03/2020,0,11,0,11,0,0
27/03/2020,1,12,1,12,0,0
28/03/2020,1,13,1,13,0,0
29/03/2020,1,14,1,14,0,0
30/03/2020,1,15,0,14,0,0
31/03/2020,0,15,0,14,0,0
01/04/2020,0,15,0,14,0,0
02/04/2020,1,16,1,15,0,0
03/04/2020,0,16,0,15,0,0
04/04/2020,0,16,0,15,0,0
05/04/2020,0,16,0,15,0,0
06/04/2020,0,16,0,15,0,0
07/04/2020,0,16,0,15,0,0
08/04/2020,3,19,0,15,1,1
09/04/2020,5,24,0,15,0,1
10/04/2020,1,25,0,15,0,1
11/04/2020,8,33,1,16,1,2
12/04/2020,1,34,1,17,0,2
13/04/2020,2,36,0,17,0,2
14/04/2020,0,36,0,17,0,2
15/04/2020,6,42,0,17,0,2
16/04/2020,2,44,0,17,0,2
17/04/2020,3,47,0,17,0,2
18/04/2020,0,47,0,17,0,2
19/04/2020,0,47,0,17,0,2
20/04/2020,2,49,0,17,0,2
21/04/2020,0,49,0,17,0,2
22/04/2020,0,49,0,17,0,2
23/04/2020,0,49,0,17,0,2
24/04/2020,3,52,0,17,0,2
25/04/2020,0,52,0,17,0,2
26/04/2020,1,53,0,17,0,2
27/04/2020,0,53,0,17,0,2
28/04/2020,3,56,0,17,0,2
