date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0
07/04/2020,0,0,0,0,0,0
08/04/2020,0,0,0,0,0,0
09/04/2020,0,0,0,0,0,0
10/04/2020,0,0,0,0,0,0
11/04/2020,0,0,0,0,0,0
12/04/2020,0,0,0,0,0,0
13/04/2020,0,0,0,0,0,0
14/04/2020,0,0,0,0,0,0
15/04/2020,0,0,0,0,0,0
16/04/2020,0,0,0,0,0,0
17/04/2020,0,0,0,0,0,0
18/04/2020,0,0,0,0,0,0
19/04/2020,0,0,0,0,0,0
20/04/2020,0,0,0,0,0,0
21/04/2020,0,0,0,0,0,0
22/04/2020,0,0,0,0,0,0
23/04/2020,1,1,1,1,0,0
24/04/2020,0,1,0,1,0,0
25/04/2020,1,2,1,2,0,0
26/04/2020,0,2,0,2,0,0
27/04/2020,2,4,2,4,0,0
28/04/2020,0,4,0,4,0,0
29/04/2020,8,12,8,12,0,0
30/04/2020,3,15,3,15,0,0
01/05/2020,4,19,4,19,0,0
02/05/2020,4,23,4,23,0,0
03/05/2020,4,27,4,27,0,0
04/05/2020,0,27,0,27,0,0
05/05/2020,17,44,17,44,0,0
06/05/2020,1,45,1,45,0,0
07/05/2020,0,45,0,45,0,0
08/05/2020,4,49,4,49,0,0
09/05/2020,2,51,2,51,0,0
10/05/2020,0,51,0,51,0,0
11/05/2020,0,51,0,51,0,0
12/05/2020,3,54,3,54,0,0
13/05/2020,0,54,0,54,0,0
14/05/2020,8,62,7,61,1,1
15/05/2020,3,65,3,64,0,1
16/05/2020,1,66,1,65,0,1
17/05/2020,2,68,2,67,0,1
18/05/2020,0,68,0,67,0,1
19/05/2020,1,69,1,68,0,1
20/05/2020,0,69,0,68,0,1
21/05/2020,2,71,2,70,0,1
22/05/2020,5,76,4,74,0,1
23/05/2020,1,77,1,75,0,1
24/05/2020,0,77,0,75,0,1
25/05/2020,4,81,4,79,0,1
26/05/2020,2,83,2,81,0,1
27/05/2020,0,83,0,81,0,1
28/05/2020,3,86,3,84,0,1
29/05/2020,0,86,0,84,0,1
30/05/2020,5,91,5,89,0,1
31/05/2020,1,92,1,90,0,1
01/06/2020,0,92,0,90,0,1
02/06/2020,12,104,11,101,1,2
03/06/2020,0,104,0,101,0,2
04/06/2020,12,116,12,113,0,2
05/06/2020,3,119,3,116,0,2
06/06/2020,2,121,2,118,0,2
07/06/2020,6,127,5,123,0,2
08/06/2020,1,128,1,124,0,2
09/06/2020,3,131,3,127,0,2
10/06/2020,13,144,13,140,0,2
11/06/2020,13,157,12,152,1,3
12/06/2020,1,158,1,153,0,3
13/06/2020,15,173,1,154,0,3
14/06/2020,7,180,7,161,0,3
15/06/2020,9,189,8,169,1,4
16/06/2020,6,195,6,175,0,4
17/06/2020,1,196,1,176,0,4
18/06/2020,8,204,7,183,1,5
19/06/2020,25,229,25,208,0,5
20/06/2020,7,236,6,214,1,6
21/06/2020,12,248,12,226,0,6
22/06/2020,3,251,1,227,0,6
23/06/2020,27,278,25,252,2,8
24/06/2020,28,306,26,278,0,8
25/06/2020,8,314,8,286,0,8
26/06/2020,17,331,14,300,1,9
27/06/2020,29,360,25,325,2,11
28/06/2020,7,367,4,329,0,11
29/06/2020,2,369,1,330,0,11
30/06/2020,4,373,3,333,0,11
01/07/2020,4,377,1,334,0,11
02/07/2020,3,380,2,336,0,11
03/07/2020,3,383,1,337,0,11
04/07/2020,1,384,0,337,0,11
05/07/2020,9,393,8,345,0,11
06/07/2020,2,395,1,346,0,11
07/07/2020,0,395,0,346,0,11
08/07/2020,17,412,1,347,0,11
09/07/2020,2,414,0,347,0,11
10/07/2020,24,438,6,353,0,11
11/07/2020,6,444,2,355,0,11
12/07/2020,10,454,2,357,0,11
13/07/2020,84,538,4,361,1,12
14/07/2020,19,557,0,361,0,12
15/07/2020,9,566,0,361,0,12
16/07/2020,29,595,1,362,0,12
17/07/2020,5,600,1,363,0,12
18/07/2020,17,617,2,365,0,12
19/07/2020,5,622,1,366,0,12
20/07/2020,5,627,0,366,0,12
21/07/2020,0,627,0,366,0,12
