date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,1,1,1,1,0,0
29/03/2020,2,3,2,3,0,0
30/03/2020,0,3,0,3,0,0
31/03/2020,0,3,0,3,0,0
01/04/2020,0,3,0,3,0,0
02/04/2020,0,3,0,3,0,0
03/04/2020,0,3,0,3,0,0
04/04/2020,0,3,0,3,0,0
05/04/2020,0,3,0,3,0,0
06/04/2020,0,3,0,3,0,0
07/04/2020,0,3,0,3,0,0
08/04/2020,3,6,3,6,0,0
09/04/2020,3,9,2,8,1,1
10/04/2020,0,9,0,8,0,1
11/04/2020,0,9,0,8,0,1
12/04/2020,0,9,0,8,0,1
13/04/2020,1,10,1,9,0,1
14/04/2020,1,11,1,10,0,1
15/04/2020,0,11,0,10,0,1
16/04/2020,0,11,0,10,0,1
17/04/2020,1,12,0,10,1,2
18/04/2020,0,12,0,10,0,2
19/04/2020,0,12,0,10,0,2
20/04/2020,2,14,2,12,0,2
21/04/2020,1,15,0,12,1,3
22/04/2020,0,15,0,12,0,3
23/04/2020,1,16,1,13,0,3
24/04/2020,5,21,5,18,0,3
25/04/2020,0,21,0,18,0,3
26/04/2020,0,21,0,18,0,3
27/04/2020,1,22,1,19,0,3
28/04/2020,0,22,0,19,0,3
29/04/2020,1,23,1,20,0,3
30/04/2020,1,24,1,21,0,3
01/05/2020,0,24,0,21,0,3
02/05/2020,1,25,1,22,0,3
03/05/2020,2,27,2,24,0,3
04/05/2020,2,29,2,26,0,3
05/05/2020,2,31,2,28,0,3
06/05/2020,1,32,1,29,0,3
07/05/2020,0,32,0,29,0,3
08/05/2020,9,41,9,38,0,3
09/05/2020,0,41,0,38,0,3
10/05/2020,5,46,5,43,0,3
11/05/2020,7,53,4,47,1,4
12/05/2020,4,57,3,50,0,4
13/05/2020,5,62,4,54,1,5
14/05/2020,8,70,7,61,0,5
15/05/2020,6,76,5,66,0,5
16/05/2020,2,78,2,68,0,5
17/05/2020,13,91,13,81,0,5
18/05/2020,17,108,16,97,0,5
19/05/2020,9,117,7,104,1,6
20/05/2020,5,122,3,107,1,7
21/05/2020,5,127,4,111,0,7
22/05/2020,0,127,0,111,0,7
23/05/2020,12,139,9,120,2,9
24/05/2020,10,149,7,127,2,11
25/05/2020,7,156,7,134,0,11
26/05/2020,2,158,2,136,0,11
27/05/2020,16,174,11,147,1,12
28/05/2020,16,190,12,159,1,13
29/05/2020,4,194,4,163,0,13
30/05/2020,18,212,11,174,0,13
31/05/2020,4,216,3,177,0,13
01/06/2020,5,221,0,177,0,13
02/06/2020,10,231,3,180,0,13
03/06/2020,14,245,7,187,1,14
04/06/2020,2,247,0,187,1,15
05/06/2020,8,255,3,190,0,15
06/06/2020,13,268,1,191,2,17
07/06/2020,17,285,5,196,0,17
08/06/2020,8,293,0,196,0,17
09/06/2020,13,306,0,196,0,17
10/06/2020,3,309,0,196,0,17
11/06/2020,8,317,0,196,0,17
12/06/2020,11,328,1,197,0,17
13/06/2020,10,338,0,197,0,17
14/06/2020,28,366,0,197,3,20
15/06/2020,25,391,1,198,0,20
16/06/2020,27,418,0,198,2,22
17/06/2020,11,429,0,198,0,22
18/06/2020,57,486,0,198,0,22
19/06/2020,61,547,0,198,0,22
20/06/2020,25,572,0,198,0,22
