date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,2,2,2,2,0,0
20/03/2020,0,2,0,2,0,0
21/03/2020,0,2,0,2,0,0
22/03/2020,0,2,0,2,0,0
23/03/2020,0,2,0,2,0,0
24/03/2020,1,3,1,3,0,0
25/03/2020,6,9,6,9,0,0
26/03/2020,0,9,0,9,0,0
27/03/2020,0,9,0,9,0,0
28/03/2020,0,9,0,9,0,0
29/03/2020,0,9,0,9,0,0
30/03/2020,0,9,0,9,0,0
31/03/2020,0,9,0,9,0,0
01/04/2020,3,12,2,11,1,1
02/04/2020,0,12,0,11,0,1
03/04/2020,0,12,0,11,0,1
04/04/2020,0,12,0,11,0,1
05/04/2020,0,12,0,11,0,1
06/04/2020,1,13,0,11,1,2
07/04/2020,1,14,1,12,0,2
08/04/2020,1,15,1,13,0,2
09/04/2020,1,16,1,14,0,2
10/04/2020,3,19,3,17,0,2
11/04/2020,1,20,0,17,1,3
12/04/2020,0,20,0,17,0,3
13/04/2020,0,20,0,17,0,3
14/04/2020,1,21,1,18,0,3
15/04/2020,0,21,0,18,0,3
16/04/2020,2,23,2,20,0,3
17/04/2020,1,24,1,21,0,3
18/04/2020,0,24,0,21,0,3
19/04/2020,0,24,0,21,0,3
20/04/2020,0,24,0,21,0,3
21/04/2020,0,24,0,21,0,3
22/04/2020,1,25,0,21,1,4
23/04/2020,1,26,1,22,0,4
24/04/2020,0,26,0,22,0,4
25/04/2020,1,27,0,22,1,5
26/04/2020,1,28,1,23,0,5
27/04/2020,4,32,4,27,0,5
28/04/2020,3,35,3,30,0,5
29/04/2020,1,36,1,31,0,5
30/04/2020,0,36,0,31,0,5
01/05/2020,0,36,0,31,0,5
02/05/2020,0,36,0,31,0,5
03/05/2020,0,36,0,31,0,5
04/05/2020,0,36,0,31,0,5
05/05/2020,4,40,4,35,0,5
06/05/2020,0,40,0,35,0,5
07/05/2020,0,40,0,35,0,5
08/05/2020,1,41,1,36,0,5
09/05/2020,0,41,0,36,0,5
10/05/2020,5,46,5,41,0,5
11/05/2020,4,50,4,45,0,5
12/05/2020,2,52,2,47,0,5
13/05/2020,1,53,1,48,0,5
14/05/2020,0,53,0,48,0,5
15/05/2020,7,60,7,55,0,5
16/05/2020,0,60,0,55,0,5
17/05/2020,3,63,2,57,0,5
18/05/2020,0,63,0,57,0,5
19/05/2020,0,63,0,57,0,5
20/05/2020,2,65,1,58,0,5
21/05/2020,1,66,1,59,0,5
22/05/2020,5,71,1,60,0,5
23/05/2020,2,73,1,61,0,5
24/05/2020,1,74,0,61,0,5
25/05/2020,0,74,0,61,0,5
26/05/2020,3,77,0,61,0,5
27/05/2020,3,80,0,61,0,5
28/05/2020,10,90,0,61,0,5
29/05/2020,1,91,0,61,0,5
30/05/2020,5,96,1,62,1,6
31/05/2020,5,101,0,62,0,6
01/06/2020,2,103,0,62,0,6
02/06/2020,10,113,0,62,0,6
03/06/2020,3,116,0,62,0,6
04/06/2020,10,126,1,63,0,6
05/06/2020,10,136,0,63,0,6
06/06/2020,9,145,0,63,0,6
07/06/2020,10,155,0,63,0,6
08/06/2020,3,158,0,63,0,6
