date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,2,2,2,2,0,0
20/03/2020,0,2,0,2,0,0
21/03/2020,0,2,0,2,0,0
22/03/2020,0,2,0,2,0,0
23/03/2020,0,2,0,2,0,0
24/03/2020,1,3,1,3,0,0
25/03/2020,6,9,6,9,0,0
26/03/2020,0,9,0,9,0,0
27/03/2020,0,9,0,9,0,0
28/03/2020,0,9,0,9,0,0
29/03/2020,0,9,0,9,0,0
30/03/2020,0,9,0,9,0,0
31/03/2020,0,9,0,9,0,0
01/04/2020,3,12,2,11,1,1
02/04/2020,0,12,0,11,0,1
03/04/2020,0,12,0,11,0,1
04/04/2020,0,12,0,11,0,1
05/04/2020,0,12,0,11,0,1
06/04/2020,1,13,0,11,1,2
07/04/2020,1,14,1,12,0,2
08/04/2020,1,15,1,13,0,2
09/04/2020,1,16,1,14,0,2
10/04/2020,3,19,2,16,0,2
11/04/2020,1,20,0,16,1,3
12/04/2020,0,20,0,16,0,3
13/04/2020,0,20,0,16,0,3
14/04/2020,1,21,1,17,0,3
15/04/2020,0,21,0,17,0,3
16/04/2020,2,23,2,19,0,3
17/04/2020,1,24,1,20,0,3
18/04/2020,0,24,0,20,0,3
19/04/2020,0,24,0,20,0,3
20/04/2020,0,24,0,20,0,3
21/04/2020,0,24,0,20,0,3
22/04/2020,0,24,0,20,0,3
23/04/2020,1,25,1,21,0,3
24/04/2020,0,25,0,21,0,3
25/04/2020,1,26,0,21,1,4
26/04/2020,1,27,1,22,0,4
27/04/2020,4,31,4,26,0,4
28/04/2020,3,34,3,29,0,4
29/04/2020,1,35,1,30,0,4
30/04/2020,0,35,0,30,0,4
01/05/2020,0,35,0,30,0,4
02/05/2020,0,35,0,30,0,4
03/05/2020,0,35,0,30,0,4
04/05/2020,1,36,1,31,0,4
05/05/2020,4,40,3,34,0,4
06/05/2020,0,40,0,34,0,4
07/05/2020,0,40,0,34,0,4
08/05/2020,1,41,1,35,0,4
09/05/2020,0,41,0,35,0,4
10/05/2020,5,46,3,38,0,4
11/05/2020,4,50,3,41,0,4
12/05/2020,2,52,0,41,0,4
13/05/2020,1,53,1,42,0,4
14/05/2020,0,53,0,42,0,4
15/05/2020,7,60,2,44,0,4
16/05/2020,0,60,0,44,0,4
17/05/2020,3,63,0,44,0,4
18/05/2020,0,63,0,44,0,4
19/05/2020,0,63,0,44,0,4
20/05/2020,2,65,0,44,0,4
21/05/2020,1,66,0,44,0,4
22/05/2020,5,71,0,44,0,4
23/05/2020,2,73,0,44,0,4
24/05/2020,1,74,0,44,0,4
25/05/2020,0,74,0,44,0,4
26/05/2020,3,77,0,44,0,4
27/05/2020,3,80,0,44,0,4
28/05/2020,10,90,0,44,0,4
29/05/2020,1,91,0,44,0,4
30/05/2020,4,95,0,44,0,4
31/05/2020,0,95,0,44,0,4
