date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,1,1,1,1,0,0
16/03/2020,1,2,1,2,0,0
17/03/2020,0,2,0,2,0,0
18/03/2020,0,2,0,2,0,0
19/03/2020,1,3,1,3,0,0
20/03/2020,0,3,0,3,0,0
21/03/2020,0,3,0,3,0,0
22/03/2020,0,3,0,3,0,0
23/03/2020,1,4,1,4,0,0
24/03/2020,0,4,0,4,0,0
25/03/2020,0,4,0,4,0,0
26/03/2020,0,4,0,4,0,0
27/03/2020,0,4,0,4,0,0
28/03/2020,0,4,0,4,0,0
29/03/2020,4,8,3,7,0,0
30/03/2020,0,8,0,7,0,0
31/03/2020,3,11,3,10,0,0
01/04/2020,1,12,1,11,0,0
02/04/2020,0,12,0,11,0,0
03/04/2020,0,12,0,11,0,0
04/04/2020,0,12,0,11,0,0
05/04/2020,0,12,0,11,0,0
06/04/2020,2,14,0,11,2,2
07/04/2020,0,14,0,11,0,2
08/04/2020,0,14,0,11,0,2
09/04/2020,7,21,7,18,0,2
10/04/2020,0,21,0,18,0,2
11/04/2020,6,27,5,23,0,2
12/04/2020,2,29,1,24,0,2
13/04/2020,0,29,0,24,0,2
14/04/2020,1,30,1,25,0,2
15/04/2020,0,30,0,25,0,2
16/04/2020,3,33,2,27,0,2
17/04/2020,0,33,0,27,0,2
18/04/2020,0,33,0,27,0,2
19/04/2020,0,33,0,27,0,2
20/04/2020,0,33,0,27,0,2
21/04/2020,1,34,0,27,0,2
22/04/2020,2,36,1,28,1,3
23/04/2020,1,37,0,28,0,3
24/04/2020,0,37,0,28,0,3
25/04/2020,1,38,1,29,0,3
26/04/2020,1,39,0,29,0,3
27/04/2020,0,39,0,29,0,3
28/04/2020,1,40,0,29,0,3
29/04/2020,0,40,0,29,0,3
30/04/2020,0,40,0,29,0,3
01/05/2020,0,40,0,29,0,3
02/05/2020,0,40,0,29,0,3
03/05/2020,0,40,0,29,0,3
04/05/2020,0,40,0,29,0,3
05/05/2020,0,40,0,29,0,3
06/05/2020,0,40,0,29,0,3
07/05/2020,0,40,0,29,0,3
08/05/2020,1,41,0,29,0,3
