date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,1,1,1,1,0,0
14/03/2020,0,1,0,1,0,0
15/03/2020,0,1,0,1,0,0
16/03/2020,0,1,0,1,0,0
17/03/2020,0,1,0,1,0,0
18/03/2020,0,1,0,1,0,0
19/03/2020,0,1,0,1,0,0
20/03/2020,0,1,0,1,0,0
21/03/2020,0,1,0,1,0,0
22/03/2020,0,1,0,1,0,0
23/03/2020,4,5,4,5,0,0
24/03/2020,2,7,0,5,0,0
25/03/2020,1,8,0,5,0,0
26/03/2020,0,8,0,5,0,0
27/03/2020,0,8,0,5,0,0
28/03/2020,0,8,0,5,0,0
29/03/2020,0,8,0,5,0,0
30/03/2020,0,8,0,5,0,0
31/03/2020,3,11,2,7,0,0
01/04/2020,1,12,0,7,0,0
02/04/2020,0,12,0,7,0,0
03/04/2020,1,13,0,7,1,1
04/04/2020,0,13,0,7,0,1
05/04/2020,1,14,1,8,0,1
06/04/2020,0,14,0,8,0,1
07/04/2020,0,14,0,8,0,1
08/04/2020,0,14,0,8,0,1
09/04/2020,1,15,0,8,0,1
10/04/2020,2,17,0,8,1,2
11/04/2020,5,22,2,10,2,4
12/04/2020,0,22,0,10,0,4
13/04/2020,2,24,0,10,0,4
14/04/2020,15,39,0,10,0,4
15/04/2020,0,39,0,10,0,4
16/04/2020,5,44,0,10,0,4
17/04/2020,2,46,0,10,0,4
18/04/2020,1,47,0,10,0,4
19/04/2020,10,57,0,10,0,4
20/04/2020,4,61,0,10,0,4
21/04/2020,3,64,0,10,0,4
22/04/2020,40,104,0,10,0,4
23/04/2020,52,156,0,10,0,4
24/04/2020,26,182,0,10,0,4
25/04/2020,24,206,0,10,0,4
26/04/2020,26,232,0,10,0,4
