date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,1,1,1,1,0,0
29/03/2020,0,1,0,1,0,0
30/03/2020,0,1,0,1,0,0
31/03/2020,0,1,0,1,0,0
01/04/2020,0,1,0,1,0,0
02/04/2020,0,1,0,1,0,0
03/04/2020,0,1,0,1,0,0
04/04/2020,0,1,0,1,0,0
05/04/2020,0,1,0,1,0,0
06/04/2020,0,1,0,1,0,0
07/04/2020,0,1,0,1,0,0
08/04/2020,3,4,3,4,0,0
09/04/2020,3,7,2,6,1,1
10/04/2020,0,7,0,6,0,1
11/04/2020,0,7,0,6,0,1
12/04/2020,0,7,0,6,0,1
13/04/2020,1,8,1,7,0,1
14/04/2020,0,8,0,7,0,1
15/04/2020,0,8,0,7,0,1
16/04/2020,0,8,0,7,0,1
17/04/2020,0,8,0,7,0,1
18/04/2020,0,8,0,7,0,1
19/04/2020,0,8,0,7,0,1
20/04/2020,1,9,1,8,0,1
21/04/2020,0,9,0,8,0,1
22/04/2020,0,9,0,8,0,1
23/04/2020,0,9,0,8,0,1
24/04/2020,3,12,3,11,0,1
25/04/2020,0,12,0,11,0,1
26/04/2020,0,12,0,11,0,1
27/04/2020,1,13,1,12,0,1
28/04/2020,0,13,0,12,0,1
29/04/2020,1,14,1,13,0,1
30/04/2020,1,15,1,14,0,1
01/05/2020,0,15,0,14,0,1
02/05/2020,0,15,0,14,0,1
03/05/2020,1,16,1,15,0,1
04/05/2020,1,17,1,16,0,1
05/05/2020,0,17,0,16,0,1
06/05/2020,0,17,0,16,0,1
07/05/2020,0,17,0,16,0,1
08/05/2020,4,21,4,20,0,1
09/05/2020,0,21,0,20,0,1
10/05/2020,1,22,1,21,0,1
11/05/2020,1,23,1,22,0,1
12/05/2020,2,25,2,24,0,1
13/05/2020,2,27,2,26,0,1
14/05/2020,4,31,4,30,0,1
15/05/2020,0,31,0,30,0,1
16/05/2020,1,32,1,31,0,1
17/05/2020,3,35,3,34,0,1
18/05/2020,6,41,6,40,0,1
19/05/2020,6,47,6,46,0,1
20/05/2020,2,49,1,47,1,2
21/05/2020,2,51,2,49,0,2
22/05/2020,0,51,0,49,0,2
23/05/2020,6,57,6,55,0,2
24/05/2020,1,58,1,56,0,2
25/05/2020,3,61,3,59,0,2
26/05/2020,1,62,1,60,0,2
27/05/2020,5,67,4,64,0,2
28/05/2020,2,69,1,65,1,3
29/05/2020,3,72,3,68,0,3
30/05/2020,8,80,8,76,0,3
31/05/2020,1,81,1,77,0,3
01/06/2020,2,83,2,79,0,3
02/06/2020,2,85,2,81,0,3
03/06/2020,10,95,9,90,1,4
04/06/2020,0,95,0,90,0,4
05/06/2020,3,98,3,93,0,4
06/06/2020,0,98,0,93,0,4
07/06/2020,4,102,4,97,0,4
08/06/2020,4,106,4,101,0,4
09/06/2020,0,106,0,101,0,4
10/06/2020,1,107,1,102,0,4
11/06/2020,2,109,2,104,0,4
12/06/2020,5,114,4,108,0,4
13/06/2020,3,117,2,110,0,4
14/06/2020,3,120,2,112,1,5
15/06/2020,3,123,3,115,0,5
16/06/2020,5,128,2,117,1,6
17/06/2020,2,130,1,118,0,6
18/06/2020,9,139,5,123,1,7
19/06/2020,13,152,8,131,0,7
20/06/2020,6,158,5,136,0,7
21/06/2020,4,162,0,136,0,7
22/06/2020,16,178,7,143,0,7
23/06/2020,5,183,4,147,0,7
24/06/2020,3,186,1,148,0,7
25/06/2020,16,202,3,151,0,7
26/06/2020,8,210,3,154,0,7
27/06/2020,15,225,3,157,0,7
28/06/2020,8,233,2,159,0,7
29/06/2020,9,242,0,159,1,8
30/06/2020,2,244,0,159,0,8
01/07/2020,7,251,0,159,0,8
02/07/2020,8,259,1,160,0,8
03/07/2020,8,267,1,161,0,8
04/07/2020,17,284,1,162,0,8
05/07/2020,11,295,0,162,0,8
06/07/2020,7,302,0,162,0,8
07/07/2020,5,307,0,162,0,8
08/07/2020,13,320,0,162,0,8
09/07/2020,12,332,1,163,0,8
10/07/2020,8,340,0,163,0,8
11/07/2020,9,349,0,163,0,8
12/07/2020,0,349,0,163,0,8
