date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,2,2,2,2,0,0
25/03/2020,1,3,0,2,1,1
26/03/2020,0,3,0,2,0,1
27/03/2020,0,3,0,2,0,1
28/03/2020,0,3,0,2,0,1
29/03/2020,0,3,0,2,0,1
30/03/2020,0,3,0,2,0,1
31/03/2020,0,3,0,2,0,1
01/04/2020,1,4,1,3,0,1
02/04/2020,0,4,0,3,0,1
03/04/2020,1,5,0,3,1,2
04/04/2020,0,5,0,3,0,2
05/04/2020,0,5,0,3,0,2
06/04/2020,0,5,0,3,0,2
07/04/2020,0,5,0,3,0,2
08/04/2020,4,9,4,7,0,2
09/04/2020,1,10,1,8,0,2
10/04/2020,0,10,0,8,0,2
11/04/2020,0,10,0,8,0,2
12/04/2020,0,10,0,8,0,2
13/04/2020,0,10,0,8,0,2
14/04/2020,1,11,1,9,0,2
15/04/2020,0,11,0,9,0,2
16/04/2020,2,13,2,11,0,2
17/04/2020,0,13,0,11,0,2
18/04/2020,0,13,0,11,0,2
19/04/2020,0,13,0,11,0,2
20/04/2020,1,14,0,11,1,3
21/04/2020,0,14,0,11,0,3
22/04/2020,1,15,1,12,0,3
23/04/2020,0,15,0,12,0,3
24/04/2020,1,16,1,13,0,3
25/04/2020,1,17,0,13,0,3
26/04/2020,0,17,0,13,0,3
27/04/2020,0,17,0,13,0,3
