date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,1,1,1,1,0,0
16/03/2020,1,2,1,2,0,0
17/03/2020,2,4,2,4,0,0
18/03/2020,0,4,0,4,0,0
19/03/2020,1,5,1,5,0,0
20/03/2020,5,10,5,10,0,0
21/03/2020,2,12,2,12,0,0
22/03/2020,0,12,0,12,0,0
23/03/2020,5,17,5,17,0,0
24/03/2020,7,24,7,24,0,0
25/03/2020,3,27,3,27,0,0
26/03/2020,0,27,0,27,0,0
27/03/2020,1,28,1,28,0,0
28/03/2020,2,30,1,29,1,1
29/03/2020,0,30,0,29,0,1
30/03/2020,5,35,4,33,1,2
31/03/2020,9,44,8,41,1,3
01/04/2020,6,50,5,46,0,3
02/04/2020,2,52,2,48,0,3
03/04/2020,3,55,3,51,0,3
04/04/2020,7,62,7,58,0,3
05/04/2020,5,67,4,62,1,4
06/04/2020,4,71,4,66,0,4
07/04/2020,5,76,5,71,0,4
08/04/2020,5,81,5,76,0,4
09/04/2020,9,90,9,85,0,4
10/04/2020,16,106,14,99,2,6
11/04/2020,21,127,20,119,1,7
12/04/2020,7,134,7,126,0,7
13/04/2020,3,137,3,129,0,7
14/04/2020,5,142,5,134,0,7
15/04/2020,8,150,7,141,1,8
16/04/2020,1,151,1,142,0,8
17/04/2020,13,164,12,154,1,9
18/04/2020,7,171,7,161,0,9
19/04/2020,6,177,5,166,1,10
20/04/2020,7,184,6,172,1,11
21/04/2020,10,194,8,180,0,11
22/04/2020,3,197,3,183,0,11
23/04/2020,6,203,6,189,0,11
24/04/2020,7,210,6,195,0,11
25/04/2020,7,217,7,202,0,11
26/04/2020,7,224,7,209,0,11
27/04/2020,6,230,6,215,0,11
28/04/2020,2,232,2,217,0,11
29/04/2020,5,237,5,222,0,11
30/04/2020,5,242,4,226,0,11
01/05/2020,4,246,4,230,0,11
02/05/2020,2,248,1,231,0,11
03/05/2020,11,259,11,242,0,11
04/05/2020,3,262,3,245,0,11
05/05/2020,5,267,5,250,0,11
06/05/2020,0,267,0,250,0,11
07/05/2020,7,274,7,257,0,11
08/05/2020,3,277,2,259,0,11
09/05/2020,2,279,2,261,0,11
10/05/2020,5,284,3,264,1,12
11/05/2020,6,290,6,270,0,12
12/05/2020,18,308,13,283,0,12
13/05/2020,3,311,2,285,0,12
14/05/2020,9,320,4,289,1,13
15/05/2020,16,336,4,293,1,14
16/05/2020,8,344,4,297,1,15
17/05/2020,11,355,1,298,0,15
18/05/2020,10,365,2,300,0,15
19/05/2020,12,377,0,300,0,15
20/05/2020,6,383,0,300,0,15
21/05/2020,7,390,0,300,0,15
22/05/2020,8,398,1,301,0,15
23/05/2020,31,429,3,304,1,16
24/05/2020,35,464,7,311,0,16
25/05/2020,71,535,14,325,0,16
26/05/2020,49,584,0,325,0,16
27/05/2020,52,636,0,325,3,19
28/05/2020,76,712,0,325,4,23
29/05/2020,52,764,0,325,1,24
30/05/2020,40,804,1,326,1,25
31/05/2020,44,848,1,327,0,25
01/06/2020,75,923,0,327,0,25
02/06/2020,58,981,0,327,1,26
03/06/2020,51,1032,0,327,1,27
04/06/2020,57,1089,0,327,0,27
