date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,1,1,1,1,0,0
18/03/2020,1,2,1,2,0,0
19/03/2020,0,2,0,2,0,0
20/03/2020,0,2,0,2,0,0
21/03/2020,1,3,1,3,0,0
22/03/2020,1,4,1,4,0,0
23/03/2020,0,4,0,4,0,0
24/03/2020,4,8,4,8,0,0
25/03/2020,1,9,1,9,0,0
26/03/2020,0,9,0,9,0,0
27/03/2020,0,9,0,9,0,0
28/03/2020,0,9,0,9,0,0
29/03/2020,0,9,0,9,0,0
30/03/2020,0,9,0,9,0,0
31/03/2020,0,9,0,9,0,0
01/04/2020,5,14,5,14,0,0
02/04/2020,0,14,0,14,0,0
03/04/2020,1,15,1,15,0,0
04/04/2020,0,15,0,15,0,0
05/04/2020,0,15,0,15,0,0
06/04/2020,0,15,0,15,0,0
07/04/2020,0,15,0,15,0,0
08/04/2020,0,15,0,15,0,0
09/04/2020,1,16,1,16,0,0
10/04/2020,5,21,4,20,1,1
11/04/2020,2,23,1,21,1,2
12/04/2020,0,23,0,21,0,2
13/04/2020,2,25,2,23,0,2
14/04/2020,0,25,0,23,0,2
15/04/2020,2,27,2,25,0,2
16/04/2020,1,28,1,26,0,2
17/04/2020,2,30,2,28,0,2
18/04/2020,0,30,0,28,0,2
19/04/2020,2,32,2,30,0,2
20/04/2020,0,32,0,30,0,2
21/04/2020,4,36,4,34,0,2
22/04/2020,4,40,4,38,0,2
23/04/2020,1,41,0,38,1,3
24/04/2020,0,41,0,38,0,3
25/04/2020,1,42,1,39,0,3
26/04/2020,1,43,1,40,0,3
27/04/2020,12,55,11,51,1,4
28/04/2020,7,62,7,58,0,4
29/04/2020,4,66,4,62,0,4
30/04/2020,2,68,2,64,0,4
01/05/2020,19,87,19,83,0,4
02/05/2020,1,88,1,84,0,4
03/05/2020,5,93,5,89,0,4
04/05/2020,1,94,1,90,0,4
05/05/2020,0,94,0,90,0,4
06/05/2020,0,94,0,90,0,4
07/05/2020,4,98,4,94,0,4
08/05/2020,5,103,5,99,0,4
09/05/2020,0,103,0,99,0,4
10/05/2020,27,130,22,121,4,8
11/05/2020,0,130,0,121,0,8
12/05/2020,3,133,3,124,0,8
13/05/2020,1,134,1,125,0,8
14/05/2020,0,134,0,125,0,8
15/05/2020,20,154,20,145,0,8
16/05/2020,5,159,5,150,0,8
17/05/2020,0,159,0,150,0,8
18/05/2020,5,164,5,155,0,8
19/05/2020,10,174,10,165,0,8
20/05/2020,2,176,2,167,0,8
21/05/2020,1,177,1,168,0,8
22/05/2020,4,181,4,172,0,8
23/05/2020,6,187,5,177,0,8
24/05/2020,2,189,1,178,0,8
25/05/2020,36,225,36,214,0,8
26/05/2020,13,238,13,227,0,8
27/05/2020,0,238,0,227,0,8
28/05/2020,9,247,8,235,1,9
29/05/2020,0,247,0,235,0,9
30/05/2020,1,248,1,236,0,9
31/05/2020,15,263,15,251,0,9
01/06/2020,10,273,9,260,1,10
02/06/2020,1,274,1,261,0,10
03/06/2020,0,274,0,261,0,10
04/06/2020,2,276,1,262,1,11
05/06/2020,3,279,3,265,0,11
06/06/2020,1,280,1,266,0,11
07/06/2020,7,287,6,272,1,12
08/06/2020,4,291,3,275,0,12
09/06/2020,2,293,2,277,0,12
10/06/2020,4,297,3,280,0,12
11/06/2020,16,313,15,295,0,12
12/06/2020,28,341,16,311,1,13
13/06/2020,40,381,14,325,5,18
14/06/2020,3,384,2,327,0,18
15/06/2020,10,394,4,331,2,20
16/06/2020,12,406,4,335,0,20
17/06/2020,65,471,18,353,0,20
18/06/2020,33,504,9,362,0,20
19/06/2020,10,514,1,363,0,20
20/06/2020,14,528,3,366,0,20
21/06/2020,70,598,8,374,0,20
22/06/2020,77,675,0,374,0,20
23/06/2020,15,690,3,377,1,21
24/06/2020,35,725,11,388,0,21
25/06/2020,8,733,1,389,0,21
26/06/2020,4,737,0,389,0,21
27/06/2020,25,762,0,389,0,21
28/06/2020,57,819,0,389,0,21
29/06/2020,111,930,1,390,0,21
30/06/2020,9,939,0,390,0,21
01/07/2020,79,1018,0,390,1,22
02/07/2020,21,1039,0,390,2,24
03/07/2020,48,1087,0,390,0,24
04/07/2020,13,1100,0,390,0,24
05/07/2020,28,1128,0,390,0,24
06/07/2020,35,1163,0,390,0,24
07/07/2020,0,1163,0,390,0,24
08/07/2020,0,1163,0,390,0,24
