date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,1,1,1,1,0,0
10/03/2020,0,1,0,1,0,0
11/03/2020,0,1,0,1,0,0
12/03/2020,0,1,0,1,0,0
13/03/2020,1,2,1,2,0,0
14/03/2020,0,2,0,2,0,0
15/03/2020,1,3,0,2,0,0
16/03/2020,0,3,0,2,0,0
17/03/2020,2,5,1,3,0,0
18/03/2020,8,13,6,9,0,0
19/03/2020,1,14,0,9,0,0
20/03/2020,1,15,1,10,0,0
21/03/2020,12,27,5,15,1,1
22/03/2020,5,32,2,17,0,1
23/03/2020,6,38,3,20,0,1
24/03/2020,29,67,7,27,0,1
25/03/2020,5,72,1,28,1,2
26/03/2020,2,74,0,28,0,2
27/03/2020,0,74,0,28,0,2
28/03/2020,11,85,0,28,1,3
29/03/2020,8,93,0,28,1,4
30/03/2020,13,106,0,28,1,5
31/03/2020,11,117,3,31,0,5
01/04/2020,31,148,1,32,0,5
02/04/2020,3,151,0,32,0,5
03/04/2020,15,166,0,32,1,6
04/04/2020,14,180,0,32,0,6
05/04/2020,16,196,0,32,0,6
06/04/2020,12,208,0,32,2,8
07/04/2020,40,248,3,35,2,10
08/04/2020,62,310,0,35,3,13
09/04/2020,33,343,1,36,2,15
10/04/2020,71,414,1,37,1,16
11/04/2020,59,473,3,40,2,18
12/04/2020,9,482,0,40,0,18
13/04/2020,9,491,0,40,0,18
14/04/2020,14,505,0,40,0,18
15/04/2020,0,505,0,40,0,18
