date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,2,2,1,1,1,1
21/03/2020,0,2,0,1,0,1
22/03/2020,0,2,0,1,0,1
23/03/2020,1,3,1,2,0,1
24/03/2020,0,3,0,2,0,1
25/03/2020,1,4,1,3,0,1
26/03/2020,0,4,0,3,0,1
27/03/2020,3,7,3,6,0,1
28/03/2020,0,7,0,6,0,1
29/03/2020,0,7,0,6,0,1
30/03/2020,0,7,0,6,0,1
31/03/2020,2,9,2,8,0,1
01/04/2020,2,11,2,10,0,1
02/04/2020,0,11,0,10,0,1
03/04/2020,0,11,0,10,0,1
04/04/2020,0,11,0,10,0,1
05/04/2020,0,11,0,10,0,1
06/04/2020,0,11,0,10,0,1
07/04/2020,0,11,0,10,0,1
08/04/2020,14,25,12,22,2,3
09/04/2020,4,29,2,24,2,5
10/04/2020,9,38,6,30,3,8
11/04/2020,13,51,10,40,3,11
12/04/2020,3,54,3,43,0,11
13/04/2020,5,59,4,47,0,11
14/04/2020,0,59,0,47,0,11
15/04/2020,4,63,4,51,0,11
16/04/2020,7,70,6,57,1,12
17/04/2020,1,71,1,58,0,12
18/04/2020,0,71,0,58,0,12
19/04/2020,0,71,0,58,0,12
20/04/2020,3,74,2,60,1,13
21/04/2020,15,89,13,73,0,13
22/04/2020,8,97,7,80,1,14
23/04/2020,19,116,15,95,3,17
24/04/2020,5,121,4,99,1,18
25/04/2020,3,124,3,102,0,18
26/04/2020,8,132,8,110,0,18
27/04/2020,3,135,3,113,0,18
28/04/2020,2,137,2,115,0,18
29/04/2020,2,139,2,117,0,18
30/04/2020,15,154,14,131,1,19
01/05/2020,11,165,9,140,0,19
02/05/2020,6,171,6,146,0,19
03/05/2020,1,172,1,147,0,19
04/05/2020,3,175,2,149,0,19
05/05/2020,13,188,10,159,2,21
06/05/2020,0,188,0,159,0,21
07/05/2020,1,189,1,160,0,21
08/05/2020,2,191,2,162,0,21
09/05/2020,0,191,0,162,0,21
10/05/2020,3,194,3,165,0,21
11/05/2020,1,195,1,166,0,21
12/05/2020,5,200,5,171,0,21
13/05/2020,6,206,5,176,0,21
14/05/2020,16,222,15,191,1,22
15/05/2020,8,230,8,199,0,22
16/05/2020,13,243,13,212,0,22
17/05/2020,0,243,0,212,0,22
18/05/2020,1,244,1,213,0,22
19/05/2020,2,246,2,215,0,22
20/05/2020,5,251,5,220,0,22
21/05/2020,7,258,7,227,0,22
22/05/2020,9,267,9,236,0,22
23/05/2020,1,268,1,237,0,22
24/05/2020,3,271,3,240,0,22
25/05/2020,5,276,5,245,0,22
26/05/2020,15,291,14,259,0,22
27/05/2020,10,301,9,268,1,23
28/05/2020,7,308,6,274,1,24
29/05/2020,3,311,3,277,0,24
30/05/2020,18,329,18,295,0,24
31/05/2020,12,341,12,307,0,24
01/06/2020,14,355,14,321,0,24
02/06/2020,9,364,9,330,0,24
03/06/2020,25,389,24,354,0,24
04/06/2020,7,396,7,361,0,24
05/06/2020,9,405,8,369,1,25
06/06/2020,14,419,13,382,1,26
07/06/2020,2,421,2,384,0,26
08/06/2020,14,435,9,393,2,28
09/06/2020,8,443,4,397,1,29
10/06/2020,8,451,3,400,1,30
11/06/2020,0,451,0,400,0,30
12/06/2020,7,458,4,404,0,30
13/06/2020,21,479,6,410,1,31
14/06/2020,8,487,3,413,0,31
15/06/2020,9,496,2,415,0,31
16/06/2020,15,511,3,418,1,32
17/06/2020,19,530,7,425,3,35
18/06/2020,36,566,8,433,5,40
19/06/2020,21,587,2,435,0,40
20/06/2020,24,611,4,439,0,40
21/06/2020,53,664,1,440,1,41
22/06/2020,12,676,1,441,0,41
23/06/2020,24,700,3,444,0,41
24/06/2020,48,748,2,446,0,41
25/06/2020,41,789,0,446,0,41
26/06/2020,39,828,1,447,2,43
27/06/2020,50,878,0,447,2,45
28/06/2020,73,951,2,449,1,46
29/06/2020,14,965,0,449,0,46
30/06/2020,41,1006,1,450,2,48
01/07/2020,34,1040,0,450,2,50
02/07/2020,52,1092,0,450,3,53
03/07/2020,22,1114,0,450,0,53
04/07/2020,46,1160,0,450,0,53
05/07/2020,0,1160,0,450,0,53
06/07/2020,0,1160,0,450,0,53
