date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,2,2,1,1,1,1
21/03/2020,0,2,0,1,0,1
22/03/2020,0,2,0,1,0,1
23/03/2020,1,3,1,2,0,1
24/03/2020,0,3,0,2,0,1
25/03/2020,1,4,1,3,0,1
26/03/2020,0,4,0,3,0,1
27/03/2020,3,7,3,6,0,1
28/03/2020,0,7,0,6,0,1
29/03/2020,0,7,0,6,0,1
30/03/2020,0,7,0,6,0,1
31/03/2020,2,9,2,8,0,1
01/04/2020,2,11,2,10,0,1
02/04/2020,0,11,0,10,0,1
03/04/2020,0,11,0,10,0,1
04/04/2020,0,11,0,10,0,1
05/04/2020,0,11,0,10,0,1
06/04/2020,0,11,0,10,0,1
07/04/2020,0,11,0,10,0,1
08/04/2020,14,25,12,22,2,3
09/04/2020,4,29,2,24,2,5
10/04/2020,9,38,6,30,3,8
11/04/2020,13,51,10,40,3,11
12/04/2020,3,54,3,43,0,11
13/04/2020,5,59,4,47,0,11
14/04/2020,0,59,0,47,0,11
15/04/2020,4,63,4,51,0,11
16/04/2020,7,70,6,57,1,12
17/04/2020,1,71,1,58,0,12
18/04/2020,0,71,0,58,0,12
19/04/2020,0,71,0,58,0,12
20/04/2020,3,74,2,60,1,13
21/04/2020,15,89,13,73,0,13
22/04/2020,8,97,7,80,1,14
23/04/2020,19,116,15,95,3,17
24/04/2020,5,121,4,99,1,18
25/04/2020,3,124,3,102,0,18
26/04/2020,8,132,8,110,0,18
27/04/2020,3,135,3,113,0,18
