date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0
07/04/2020,0,0,0,0,0,0
08/04/2020,0,0,0,0,0,0
09/04/2020,0,0,0,0,0,0
10/04/2020,0,0,0,0,0,0
11/04/2020,0,0,0,0,0,0
12/04/2020,0,0,0,0,0,0
13/04/2020,0,0,0,0,0,0
14/04/2020,0,0,0,0,0,0
15/04/2020,0,0,0,0,0,0
16/04/2020,0,0,0,0,0,0
17/04/2020,0,0,0,0,0,0
18/04/2020,1,1,0,0,1,1
19/04/2020,1,2,0,0,0,1
20/04/2020,0,2,0,0,0,1
21/04/2020,0,2,0,0,0,1
22/04/2020,0,2,0,0,0,1
23/04/2020,0,2,0,0,0,1
24/04/2020,0,2,0,0,0,1
25/04/2020,0,2,0,0,0,1
26/04/2020,0,2,0,0,0,1
27/04/2020,0,2,0,0,0,1
28/04/2020,5,7,0,0,0,1
29/04/2020,1,8,1,1,0,1
30/04/2020,0,8,0,1,0,1
01/05/2020,1,9,1,2,0,1
02/05/2020,0,9,0,2,0,1
03/05/2020,0,9,0,2,0,1
04/05/2020,0,9,0,2,0,1
05/05/2020,6,15,3,5,0,1
06/05/2020,0,15,0,5,0,1
07/05/2020,0,15,0,5,0,1
08/05/2020,0,15,0,5,0,1
09/05/2020,0,15,0,5,0,1
10/05/2020,1,16,1,6,0,1
11/05/2020,0,16,0,6,0,1
12/05/2020,1,17,1,7,0,1
13/05/2020,2,19,0,7,0,1
14/05/2020,0,19,0,7,0,1
15/05/2020,0,19,0,7,0,1
16/05/2020,1,20,0,7,0,1
17/05/2020,0,20,0,7,0,1
18/05/2020,1,21,0,7,0,1
19/05/2020,0,21,0,7,0,1
20/05/2020,0,21,0,7,0,1
21/05/2020,0,21,0,7,0,1
22/05/2020,0,21,0,7,0,1
23/05/2020,0,21,0,7,0,1
24/05/2020,0,21,0,7,0,1
25/05/2020,1,22,0,7,0,1
26/05/2020,2,24,0,7,0,1
27/05/2020,0,24,0,7,0,1
28/05/2020,0,24,0,7,0,1
29/05/2020,0,24,0,7,0,1
30/05/2020,0,24,0,7,0,1
