date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,2,2,2,2,0,0
18/03/2020,0,2,0,2,0,0
19/03/2020,1,3,1,3,0,0
20/03/2020,0,3,0,3,0,0
21/03/2020,0,3,0,3,0,0
22/03/2020,3,6,3,6,0,0
23/03/2020,1,7,1,7,0,0
24/03/2020,1,8,1,8,0,0
25/03/2020,4,12,4,12,0,0
26/03/2020,0,12,0,12,0,0
27/03/2020,3,15,3,15,0,0
28/03/2020,1,16,1,16,0,0
29/03/2020,0,16,0,16,0,0
30/03/2020,0,16,0,16,0,0
31/03/2020,0,16,0,16,0,0
01/04/2020,7,23,7,23,0,0
02/04/2020,0,23,0,23,0,0
03/04/2020,0,23,0,23,0,0
04/04/2020,0,23,0,23,0,0
05/04/2020,0,23,0,23,0,0
06/04/2020,0,23,0,23,0,0
07/04/2020,0,23,0,23,0,0
08/04/2020,17,40,16,39,1,1
09/04/2020,1,41,1,40,0,1
10/04/2020,3,44,3,43,0,1
11/04/2020,3,47,2,45,1,2
12/04/2020,0,47,0,45,0,2
13/04/2020,2,49,2,47,0,2
14/04/2020,0,49,0,47,0,2
15/04/2020,0,49,0,47,0,2
16/04/2020,0,49,0,47,0,2
17/04/2020,2,51,2,49,0,2
18/04/2020,2,53,2,51,0,2
19/04/2020,0,53,0,51,0,2
20/04/2020,2,55,1,52,0,2
21/04/2020,0,55,0,52,0,2
22/04/2020,0,55,0,52,0,2
23/04/2020,0,55,0,52,0,2
24/04/2020,0,55,0,52,0,2
25/04/2020,0,55,0,52,0,2
26/04/2020,1,56,1,53,0,2
27/04/2020,2,58,2,55,0,2
28/04/2020,1,59,1,56,0,2
29/04/2020,0,59,0,56,0,2
30/04/2020,0,59,0,56,0,2
01/05/2020,1,60,1,57,0,2
02/05/2020,0,60,0,57,0,2
03/05/2020,0,60,0,57,0,2
04/05/2020,0,60,0,57,0,2
05/05/2020,3,63,3,60,0,2
06/05/2020,0,63,0,60,0,2
07/05/2020,2,65,2,62,0,2
08/05/2020,1,66,1,63,0,2
09/05/2020,0,66,0,63,0,2
10/05/2020,1,67,1,64,0,2
11/05/2020,3,70,2,66,1,3
12/05/2020,0,70,0,66,0,3
13/05/2020,7,77,6,72,1,4
14/05/2020,0,77,0,72,0,4
15/05/2020,1,78,1,73,0,4
16/05/2020,1,79,1,74,0,4
17/05/2020,0,79,0,74,0,4
18/05/2020,2,81,2,76,0,4
19/05/2020,0,81,0,76,0,4
20/05/2020,3,84,3,79,0,4
21/05/2020,0,84,0,79,0,4
22/05/2020,2,86,2,81,0,4
23/05/2020,2,88,2,83,0,4
24/05/2020,1,89,1,84,0,4
25/05/2020,5,94,5,89,0,4
26/05/2020,0,94,0,89,0,4
27/05/2020,13,107,13,102,0,4
28/05/2020,0,107,0,102,0,4
29/05/2020,0,107,0,102,0,4
30/05/2020,0,107,0,102,0,4
31/05/2020,4,111,4,106,0,4
01/06/2020,1,112,1,107,0,4
02/06/2020,1,113,1,108,0,4
03/06/2020,6,119,6,114,0,4
04/06/2020,0,119,0,114,0,4
05/06/2020,1,120,0,114,1,5
06/06/2020,1,121,1,115,0,5
07/06/2020,0,121,0,115,0,5
08/06/2020,0,121,0,115,0,5
09/06/2020,1,122,1,116,0,5
10/06/2020,0,122,0,116,0,5
11/06/2020,1,123,1,117,0,5
12/06/2020,1,124,1,118,0,5
13/06/2020,1,125,1,119,0,5
14/06/2020,1,126,1,120,0,5
15/06/2020,2,128,2,122,0,5
16/06/2020,1,129,1,123,0,5
17/06/2020,2,131,2,125,0,5
18/06/2020,8,139,8,133,0,5
19/06/2020,3,142,2,135,0,5
20/06/2020,3,145,3,138,0,5
21/06/2020,1,146,1,139,0,5
22/06/2020,3,149,3,142,0,5
23/06/2020,1,150,1,143,0,5
24/06/2020,2,152,2,145,0,5
25/06/2020,4,156,1,146,0,5
26/06/2020,3,159,2,148,0,5
27/06/2020,1,160,1,149,0,5
28/06/2020,0,160,0,149,0,5
29/06/2020,1,161,1,150,0,5
30/06/2020,6,167,2,152,0,5
01/07/2020,0,167,0,152,0,5
02/07/2020,1,168,1,153,0,5
03/07/2020,1,169,1,154,0,5
04/07/2020,8,177,1,155,0,5
05/07/2020,0,177,0,155,0,5
06/07/2020,0,177,0,155,0,5
07/07/2020,0,177,0,155,0,5
08/07/2020,3,180,0,155,0,5
09/07/2020,7,187,0,155,0,5
10/07/2020,6,193,0,155,0,5
11/07/2020,0,193,0,155,0,5
12/07/2020,1,194,0,155,0,5
13/07/2020,0,194,0,155,0,5
14/07/2020,9,203,0,155,0,5
15/07/2020,0,203,0,155,0,5
16/07/2020,3,206,0,155,0,5
17/07/2020,2,208,0,155,0,5
18/07/2020,0,208,0,155,0,5
